"1217865428493651968";"DELETE";"REMINDER: Robotics SIG (January 16, 2020 at 06:30PM - January 16, 2020 at 09:00PM). https://ift.tt/2RowXXK "
"1217133084954497025";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (January 14, 2020 at 06:00PM - January 14, 2020 at 09:00PM). https://ift.tt/386LVbo "
"1216770657482092544";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (January 13, 2020 at 06:00PM - January 13, 2020 at 09:00PM). https://ift.tt/2FI8F5D "
"1215713752894537728";"DELETE";"REMINDER: SU home game (January 10, 2020 at 08:00PM - January 10, 2020 at 10:00PM). https://ift.tt/39WPP8t "
"1215683494883532803";"DELETE";"REMINDER: Radio & Mesh Networking SIG (January 10, 2020 at 06:00PM - January 10, 2020 at 09:00PM). https://ift.tt/2sTOJtL "
"1215683492891254784";"DELETE";"REMINDER: Visit the Hackspace Night (January 10, 2020 at 06:00PM - January 10, 2020 at 09:00PM). https://ift.tt/2tMgGUp "
"1215683490064277505";"DELETE";"REMINDER: CNC & Machine Building SIG (January 10, 2020 at 06:00PM - January 10, 2020 at 09:00PM). https://ift.tt/37SpIOk "
"1215328742010126336";"DELETE";"REMINDER: Robotics SIG (January 9, 2020 at 06:30PM - January 9, 2020 at 09:00PM). https://ift.tt/35DrDVB "
"1214596381693874179";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (January 7, 2020 at 06:00PM - January 7, 2020 at 09:00PM). https://ift.tt/2QWlcYa "
"1214241584075739141";"DELETE";"REMINDER: CANCELLED: State of the Hackspace (January 6, 2020 at 06:30PM - January 6, 2020 at 07:30PM). https://ift.tt/36vRZK6 "
"1214234004934856705";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (January 6, 2020 at 06:00PM - January 6, 2020 at 09:00PM). https://ift.tt/35rXh8l "
"1213826246464954368";"DELETE";"REMINDER: SU home game (January 5, 2020 at 03:01PM - January 5, 2020 at 05:01PM). https://ift.tt/2FwqMeN "
"1213516756557422594";"DELETE";"REMINDER: Gaming SIG (January 4, 2020 at 06:30PM - January 4, 2020 at 09:30PM). https://ift.tt/2MYtfCO "
"1213463883475755009";"DELETE";"REMINDER: SU home game (January 4, 2020 at 03:01PM - January 4, 2020 at 05:01PM). https://ift.tt/2FwqMeN "
"1213403556784549888";"DELETE";"REMINDER: Saturday Session (January 4, 2020 at 11:00AM - January 4, 2020 at 06:00PM). https://ift.tt/2Fm0dsk "
"1213146877073481730";"DELETE";"REMINDER: Radio & Mesh Networking SIG (January 3, 2020 at 06:00PM - January 3, 2020 at 09:00PM). https://ift.tt/2QI8egv "
"1213146874208817156";"DELETE";"REMINDER: Visit the Hackspace Night (January 3, 2020 at 06:00PM - January 3, 2020 at 09:00PM). https://ift.tt/2rRp5oN "
"1213146872602382338";"DELETE";"REMINDER: CNC & Machine Building SIG (January 3, 2020 at 06:00PM - January 3, 2020 at 09:00PM). https://ift.tt/2Fk6Dbr "
"1210202434657832965";"DELETE";"REMINDER: SU home game (December 26, 2019 at 03:00PM - December 26, 2019 at 05:00PM). https://ift.tt/2rvc0Bx "
"1208443339164602369";"DELETE";"REMINDER: Gaming SIG (December 21, 2019 at 06:30PM - December 21, 2019 at 09:30PM). https://ift.tt/2rgwY6V "
"1208435754122305536";"DELETE";"REMINDER: State of the Hackspace (December 21, 2019 at 06:00PM - December 21, 2019 at 06:30PM). https://ift.tt/34Lr3Es "
"1208420663993753601";"DELETE";"REMINDER: Christmas Party (December 21, 2019 at 05:00PM - December 21, 2019 at 07:00PM). https://ift.tt/34K2yaP "
"1208330049990152192";"DELETE";"REMINDER: Saturday Session (December 21, 2019 at 11:00AM - December 21, 2019 at 06:00PM). https://ift.tt/38ZRyJV "
"1208073405062402049";"DELETE";"REMINDER: Radio & Mesh Networking SIG (December 20, 2019 at 06:00PM - December 20, 2019 at 09:00PM). https://ift.tt/2Q7UUBQ "
"1208073401774092289";"DELETE";"REMINDER: Visit the Hackspace Night (December 20, 2019 at 06:00PM - December 20, 2019 at 09:00PM). https://ift.tt/2Z9vyrr "
"1208073399383269377";"DELETE";"REMINDER: CNC & Machine Building SIG (December 20, 2019 at 06:00PM - December 20, 2019 at 09:00PM). https://ift.tt/2Q1dPhK "
"1207718554746966017";"DELETE";"REMINDER: Robotics SIG (December 19, 2019 at 06:30PM - December 19, 2019 at 09:00PM). https://ift.tt/2Mbv5Qh "
"1206986234939224065";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (December 17, 2019 at 06:00PM - December 17, 2019 at 09:00PM). https://ift.tt/2r6z2ys "
"1206623841646190592";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (December 16, 2019 at 06:00PM - December 16, 2019 at 09:00PM). https://ift.tt/2stFuQq "
"1205853774876725248";"DELETE";"REMINDER: SU home game (December 14, 2019 at 03:00PM - December 14, 2019 at 05:00PM). https://ift.tt/2RSKBUW "
"1205536700438630401";"DELETE";"REMINDER: Radio & Mesh Networking SIG (December 13, 2019 at 06:00PM - December 13, 2019 at 09:00PM). https://ift.tt/2smyJja "
"1205536698869985281";"DELETE";"REMINDER: Visit the Hackspace Night (December 13, 2019 at 06:00PM - December 13, 2019 at 09:00PM). https://ift.tt/2YJxyGC "
"1205536696743473153";"DELETE";"REMINDER: CNC & Machine Building SIG (December 13, 2019 at 06:00PM - December 13, 2019 at 09:00PM). https://ift.tt/2qNZiNM "
"1205181850932699136";"DELETE";"REMINDER: Robotics SIG (December 12, 2019 at 06:30PM - December 12, 2019 at 09:00PM). https://ift.tt/35hHbPc "
"1204449516981755905";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (December 10, 2019 at 06:00PM - December 10, 2019 at 09:00PM). https://ift.tt/35aGSFQ "
"1204087112942923776";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (December 9, 2019 at 06:00PM - December 9, 2019 at 09:00PM). https://ift.tt/36nawrP "
"1203369943053619200";"DELETE";"REMINDER: Gaming SIG (December 7, 2019 at 06:30PM - December 7, 2019 at 09:30PM). https://ift.tt/2rob41F "
"1203256665715433472";"DELETE";"REMINDER: Saturday Session (December 7, 2019 at 11:00AM - December 7, 2019 at 06:00PM). https://ift.tt/33ZH0Xx "
"1202999926130708480";"DELETE";"REMINDER: Radio & Mesh Networking SIG (December 6, 2019 at 06:00PM - December 6, 2019 at 09:00PM). https://ift.tt/34WNlnR "
"1202999924612308999";"DELETE";"REMINDER: Visit the Hackspace Night (December 6, 2019 at 06:00PM - December 6, 2019 at 09:00PM). https://ift.tt/2s0EUJG "
"1202999922976538624";"DELETE";"REMINDER: CNC & Machine Building SIG (December 6, 2019 at 06:00PM - December 6, 2019 at 09:00PM). https://ift.tt/38ncbzs "
"1202954694907351040";"DELETE";"REMINDER: Christmas Market @ PW (December 6, 2019 at 03:00PM - December 6, 2019 at 08:00PM). https://ift.tt/2DQyyyW "
"1202660179348770818";"DELETE";"REMINDER: SU home game (December 5, 2019 at 07:30PM - December 5, 2019 at 09:30PM). https://ift.tt/2LmpoP8 "
"1202645133566582784";"DELETE";"REMINDER: CANCELLED: Robotics SIG (December 5, 2019 at 06:30PM - December 5, 2019 at 09:00PM). https://ift.tt/2rUMNAn "
"1201939275476066306";"DELETE";"REMINDER: SU home game (December 3, 2019 at 07:45PM - December 3, 2019 at 09:45PM). https://ift.tt/2LmpoP8 "
"1201912846977830912";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (December 3, 2019 at 06:00PM - December 3, 2019 at 09:00PM). https://ift.tt/2P95RTf "
"1201550458311053312";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (December 2, 2019 at 06:00PM - December 2, 2019 at 09:00PM). https://ift.tt/35WcHT2 "
"1200463246886608896";"DELETE";"REMINDER: Radio & Mesh Networking SIG (November 29, 2019 at 06:00PM - November 29, 2019 at 09:00PM). https://ift.tt/35N6nx6 "
"1200463244932141057";"DELETE";"REMINDER: Visit the Hackspace Night (November 29, 2019 at 06:00PM - November 29, 2019 at 09:00PM). https://ift.tt/2rBsMi4 "
"1200463242415480833";"DELETE";"REMINDER: CNC & Machine Building SIG (November 29, 2019 at 06:00PM - November 29, 2019 at 09:00PM). https://ift.tt/2srZbYF "
"1200191418314248192";"DELETE";"REMINDER: Black Friday (November 29, 2019 at 12:00AM - November 30, 2019 at 12:00AM). https://ift.tt/35HIcA0 "
"1200108419023290368";"DELETE";"REMINDER: Robotics SIG (November 28, 2019 at 06:30PM - November 28, 2019 at 09:00PM). https://ift.tt/2LhR6wv "
"1199376062393835522";"DELETE";"REMINDER: Arts, Crafts & Textiles SIG (November 26, 2019 at 06:00PM - November 26, 2019 at 09:00PM). https://ift.tt/2KX5JF9 "
"1199013710876028929";"DELETE";"REMINDER: Electronics, Arduino & Raspberry Pi SIG (November 25, 2019 at 06:00PM - November 25, 2019 at 09:00PM). https://ift.tt/2XMjQSW "
"1198296440000397313";"DELETE";"REMINDER: Gaming SIG (November 23, 2019 at 06:30PM - November 23, 2019 at 09:30PM). https://ift.tt/2qEEW9I "
